,AdditionalRooms,Age,Lift Available,Car Parking,Power Backup,Indoor Games,Intercom,Landscaped Gardens,Gas connection,24 X 7 Security,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Jogging Track,Rain Water Harvesting,Childrens play area,Maintenance Staff,Staff Quarter,Shopping Mall,School,Hospital,ATM,Refrigerator,Sports Facility,Multipurpose Room,Wardrobe,Cafeteria,Golf Course,TV,Sofa,Microwave,BED,Wifi,AC,Dining Table,Washing Machine,Area,Balconies,Bathroom,Count Rooms,Room Type,Property Type,Carpetarea,Facing,Floor,Locality,New Or Old,Opensides,Overlooking,Ownership,PossesionDate,Month Of Date,Price,PriceperSquare,ProjectName,RoadFacing,Status,furnished,Totalfloor
28928,,3.5,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1100 ,1,2,,BHK,Apartment,972 ,East,21 ,dhayari,resale,3,,,,,6000000, 5454  ,nanded asawari,200 ,ready to move,unfurnished,22
28929,,10,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,734 ,1,2,,BHK,Apartment,,West,2 ,hadapsar,resale,3,available,freehold,,,4500000, 6130  ,naiknavare swarvihar,328 ,ready to move,furnished,2
28930,,5.5,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,1560 ,1,3,,BHK,Apartment,,,nan,nibm annex mohammadwadi,resale,,,,,,8500000, 5448  ,kolte patil margosa heights,,ready to move,unfurnished,
28931,,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1255 ,2,1,,BHK,Apartment,,West,6 ,viman nagar,resale,,available,freehold,,,8700000, 6932  ,,,ready to move,furnished,10
28932,,5.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1040 ,2,2,,BHK,Apartment,,West,7 ,vishrantwadi,resale,,available,freehold,,,6500000, 6250  ,,,ready to move,unfurnished,9
28933,,5.5,1.0,1.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,,,1.0,1.0,,,,,,,1.0,,,,,,,,,,,,,1000 ,1,1,,BHK,Apartment,,West,6 ,vishrantwadi,resale,,available,freehold,,,5500000, 5500  ,amba nagari,,ready to move,unfurnished,6
28934,,5.5,1.0,1.0,1.0,,1.0,1.0,,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,,,,,,,1.0,,,,,,,,,,,,,916 ,1,1,,BHK,Apartment,,North,2 ,dhanori,resale,,available,freehold,,,4500000, 4912  ,siddhant properties sai enclave,,ready to move,unfurnished,4
28935,1,3.5,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1400 ,2,3,,BHK,Apartment,,East,10 ,undri,new,2,available,freehold,,,7800000, 5571  ,amit colori,,ready to move,not available,11
28936,1,0.5,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1167 ,2,2,,BHK,Apartment,,East,5 ,nibm annex mohammadwadi,new,3,,freehold,,,5009650, 4292  ,rawat capstone,,ready to move,not available,9
28938,,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1444 ,2,3,,BHK,Apartment,1100 ,East,5 ,baner,new,2,not available,freehold,,,9800000, 6786  ,kumar pinakin,,ready to move,not available,11
